Date/Time,Duration,Latitude,Longitude,State,Max Gust speed,
2004-01-07 04:00:00,8,-31.0910,150.9320,NSW,48,
2004-01-07 04:43:00,0,-32.0500,150.8500,NSW,63,
2004-01-07 05:11:00,0,-32.6400,151.5930,NSW,66,
2004-01-07 05:15:00,0,-32.6400,151.5930,NSW,52,
2004-01-07 05:15:00,0,-31.0910,150.9320,NSW,48,
2004-01-07 05:30:00,30,-30.9820,151.5850,NSW,60,
2004-01-07 07:00:00,20,-29.6490,151.2180,NSW,55,
2004-01-07 08:17:00,0,-31.4320,152.9180,NSW,49,
2004-01-10 03:01:00,0,-30.3320,149.7680,NSW,57,
2004-01-21 04:20:00,0,-36.0650,146.9010,NSW,51,
2004-01-21 06:29:00,0,-36.0150,148.4850,NSW,49,
2004-01-21 08:55:00,30,-35.7150,150.1850,NSW,65,
2004-01-23 05:00:00,0,-32.2490,148.6010,NSW,80,
2004-01-23 06:00:00,30,-29.7820,151.1180,NSW,48,
2004-01-23 10:30:00,0,-28.6840,153.0020,NSW,60,
2004-01-24 04:36:00,0,-33.8150,150.7680,NSW,52,
2004-01-24 06:21:00,0,-32.8150,151.8430,NSW,53,
2004-01-24 06:47:00,0,-32.9180,151.7980,NSW,53,
2004-01-24 07:00:00,15,-29.7820,151.1180,NSW,48,
2004-01-25 01:45:00,15,-31.2650,150.7350,NSW,48,
2004-01-25 02:45:00,20,-31.2650,150.7350,NSW,48,
2004-01-27 09:25:00,0,-29.8650,153.2680,NSW,0,
2004-01-30 04:00:00,0,-29.1150,153.4350,NSW,55,
2004-02-02 03:15:00,30,-33.6240,150.8680,NSW,50,
2004-02-02 03:36:00,0,-34.6650,150.8510,NSW,48,
2004-02-09 10:12:00,0,-32.8150,151.8430,NSW,53,
2004-02-12 03:40:00,0,-31.4990,145.8350,NSW,52,
2004-02-12 04:00:00,0,-31.5350,147.1780,NSW,48,
2004-02-12 05:20:00,0,-31.5650,143.3680,NSW,54,
2004-02-13 08:00:00,0,-32.1320,150.3510,NSW,48,
2004-02-13 09:00:00,0,-30.6470,151.4960,NSW,48,
2004-02-15 04:00:00,10,-34.1320,149.0180,NSW,55,
2004-02-15 05:11:00,0,-33.0950,148.2630,NSW,50,
2004-02-15 05:15:00,0,-33.2820,149.1010,NSW,49,
2004-02-15 06:00:00,0,-33.4170,149.5810,NSW,48,
2004-02-15 07:00:00,0,-32.2650,150.5010,NSW,55,
2004-02-15 07:50:00,0,-30.9820,150.2510,NSW,64,
2004-02-15 08:39:00,0,-36.1990,148.1350,NSW,51,
2004-02-19 06:27:00,0,-35.4320,149.1680,NSW,51,
2004-02-22 07:00:00,0,-30.6470,151.4960,NSW,48,
2004-02-29 08:00:00,0,-32.0490,152.2680,NSW,50,
2004-03-12 07:22:00,0,-30.9320,148.3680,NSW,59,
2004-03-18 05:26:00,16,-28.8150,153.2850,NSW,55,
2004-03-21 04:30:00,60,-33.2010,148.6240,NSW,48,
2004-09-29 05:30:00,0,-32.9200,151.8000,NSW,49,
2004-10-20 14:30:00,120,-30.0600,153.1200,NSW,54,
2004-10-22 08:45:00,0,-29.1800,153.4000,NSW,50,
2004-10-24 07:05:00,70,-32.3200,150.7600,NSW,55,
2004-10-24 09:30:00,0,-33.7300,150.2300,NSW,65,
2004-10-24 12:00:00,0,-32.5900,149.5800,NSW,55,
2004-11-01 07:30:00,0,-34.3200,146.0700,NSW,49,
2004-11-02 04:30:00,0,-33.7400,151.1300,NSW,0,
2004-11-02 04:45:00,0,-32.9200,151.7900,NSW,51,
2004-11-02 06:27:00,0,-36.2500,150.2300,NSW,55,
2004-11-11 06:30:00,0,-29.6200,149.3800,NSW,52,
2004-11-11 06:30:00,0,-32.2100,148.5700,NSW,60,
2004-11-11 09:30:00,0,-34.5400,150.4800,NSW,0,
2004-12-07 10:30:00,0,-31.6800,145.4800,NSW,58,
2004-12-12 06:00:00,0,-28.4800,153.2400,NSW,49,
2004-12-13 05:00:00,20,-28.8100,153.2600,NSW,55,
2004-12-19 05:00:00,0,-32.0500,150.8500,NSW,54,
2004-12-19 05:10:00,30,-35.5600,151.3600,NSW,54,
2004-12-27 06:40:00,0,-29.0600,153.2600,NSW,54,
2005-01-20 05:35:00,0,-30.2500,149.6800,NSW,85,
2005-01-20 06:15:00,0,-34.6800,150.8500,NSW,54,
2005-01-20 07:30:00,0,-32.4800,151.5000,NSW,50,
2005-02-02 05:00:00,0,-33.4500,151.0000,NSW,60,
2005-02-19 05:10:00,30,-33.7700,150.9800,NSW,50,
2005-02-19 07:30:00,60,-31.8700,150.8800,NSW,50,
2005-03-03 12:55:00,10,-32.0500,150.8500,NSW,56,
2005-03-05 03:33:00,60,-37.2600,150.0500,NSW,54,
2005-08-30 15:00:00,5,-35.9070,145.6930,NSW,54,
2005-09-04 06:20:00,0,-29.1150,153.4350,NSW,0,
2005-10-13 06:46:00,0,-29.6700,148.1100,NSW,50,
2005-10-14 04:00:00,0,-31.8800,152.3600,NSW,54,
2005-10-23 02:41:00,0,-31.5700,143.3700,NSW,51,
2005-10-24 08:00:00,60,-28.7600,152.4500,NSW,0,
2005-10-24 08:36:00,0,-31.8900,152.5500,NSW,55,
2005-10-27 06:00:00,0,-31.0600,152.8300,NSW,0,
2005-10-27 06:00:00,0,-28.6100,150.3700,NSW,0,
2005-10-30 06:33:00,0,-34.3200,148.3400,NSW,51,
2005-11-06 08:30:00,60,-31.8700,141.2300,NSW,65,
2005-11-06 10:30:00,0,-31.9600,141.4500,NSW,57,
2005-11-10 03:09:00,0,-31.0900,150.9300,NSW,53,
2005-11-10 04:32:00,0,-32.9180,151.7980,NSW,48,
2005-11-10 05:24:00,0,-33.6200,150.7500,NSW,51,
2005-11-10 05:25:00,35,-30.6500,150.7500,NSW,56,
2005-11-15 02:43:00,0,-33.2810,151.5770,NSW,48,
2005-11-15 02:59:00,0,-33.2810,151.5770,NSW,48,
2005-11-23 19:00:00,0,-35.3000,139.4000,NSW,0,
2005-11-26 06:25:00,0,-32.0320,147.9680,NSW,55,
2005-11-26 07:40:00,0,-30.9320,148.3680,NSW,61,
2005-11-26 07:50:00,0,-31.7200,148.6700,NSW,0,
2005-11-30 03:00:00,0,-32.5843,151.7820,NSW,0,
2005-12-01 04:00:00,30,-32.7263,151.6318,NSW,54,
2005-12-01 05:30:00,30,-29.5000,151.3000,NSW,93,
2005-12-01 06:30:00,0,-29.6820,152.9350,NSW,0,
2005-12-02 02:15:00,45,-36.0600,146.9000,NSW,49,
2005-12-02 03:43:00,0,-33.3820,148.0010,NSW,62,
2005-12-02 04:10:00,0,-33.9100,148.1950,NSW,0,
2005-12-02 05:00:00,0,-35.3040,148.2230,NSW,0,
2005-12-02 05:30:00,0,-35.3200,149.1200,NSW,0,
2005-12-02 05:41:00,0,-35.3049,149.2014,NSW,54,
2005-12-02 05:50:00,0,-34.8200,148.9140,NSW,0,
2005-12-02 05:58:00,0,-31.2600,149.2680,NSW,49,
2005-12-02 06:10:00,0,-33.4100,149.5800,NSW,52,
2005-12-02 07:45:00,0,-31.7700,151.0700,NSW,61,
2005-12-02 09:15:00,0,-32.6400,151.4200,NSW,54,
2005-12-02 09:45:00,0,-32.9180,151.7980,NSW,64,
2005-12-06 05:20:00,0,-35.2800,149.1200,NSW,0,
2005-12-06 06:40:00,0,-34.7500,149.7300,NSW,48,
2005-12-06 09:30:00,0,-31.9800,141.4700,NSW,0,
2005-12-07 08:58:00,0,-30.3300,149.7800,NSW,51,
2005-12-08 01:00:00,0,-29.0500,149.9000,NSW,0,
2005-12-08 01:25:00,0,-32.0500,150.8500,NSW,59,
2005-12-08 04:40:00,70,-28.9400,153.4600,NSW,51,
2005-12-12 09:15:00,0,-34.2200,144.4600,NSW,0,
2005-12-12 09:45:00,0,-35.5300,144.9300,NSW,70,
2005-12-13 04:37:00,0,-31.0900,150.9300,NSW,51,
2005-12-16 06:00:00,0,-33.5600,150.8400,NSW,0,
2005-12-17 04:40:00,0,-28.8500,153.0500,NSW,59,
2005-12-17 05:00:00,20,-28.7600,153.2500,NSW,54,
2005-12-17 07:00:00,0,-28.8500,153.0500,NSW,0,
2005-12-28 05:05:00,0,-30.3300,149.7800,NSW,72,
2005-12-28 08:30:00,0,-29.6800,152.9300,NSW,48,
2006-01-01 03:32:00,0,-36.8800,149.2400,NSW,48,
2006-01-01 04:44:00,0,-35.9400,148.3800,NSW,63,
2006-01-01 05:16:00,0,-36.2300,149.1200,NSW,56,
2006-01-06 04:30:00,0,-30.9300,151.7200,NSW,0,
2006-01-06 08:45:00,0,-28.8500,153.0500,NSW,54,
2006-01-12 04:30:00,30,-31.1700,150.5400,NSW,49,
2006-01-16 01:40:00,0,-34.7200,150.0000,NSW,0,
2006-01-20 04:05:00,0,-31.9800,141.4700,NSW,55,
2006-01-26 07:58:00,0,-35.5300,144.9300,NSW,49,
2006-01-28 05:15:00,0,-35.4500,149.8000,NSW,48,
2006-02-09 05:00:00,0,-32.5900,149.5800,NSW,0,
2006-02-09 07:26:00,0,-31.7700,151.0700,NSW,56,
2006-02-09 07:37:00,0,-30.3300,149.7700,NSW,65,
2006-02-13 05:00:00,0,-29.4500,153.2200,NSW,0,
2006-02-13 05:36:00,0,-30.9900,150.2500,NSW,54,
2006-02-15 06:46:00,0,-32.2100,148.5700,NSW,50,
2006-02-15 10:00:00,0,-30.9900,150.2500,NSW,53,
2006-02-16 06:17:00,0,-33.3900,148.0100,NSW,48,
2006-02-18 05:30:00,0,-33.1400,148.1500,NSW,0,
2006-02-18 05:59:00,0,-31.9900,147.9500,NSW,51,
2006-02-26 05:00:00,0,-32.3760,151.9950,NSW,0,
2006-04-04 07:10:00,0,-28.6500,153.6200,NSW,0,
2006-10-26 08:30:00,0,-28.6490,153.1180,NSW,0,
2006-10-31 05:07:00,23,-32.9650,151.7010,NSW,50,
2006-11-02 02:08:00,0,-35.4170,149.1000,NSW,53,
2006-11-02 05:01:00,0,-33.3900,148.0100,NSW,50,
2006-11-02 06:32:00,0,-30.2500,149.6800,NSW,51,
2006-11-08 02:50:00,20,-29.8320,152.8850,NSW,0,
2006-11-12 22:30:00,180,-30.3650,152.8850,NSW,54,
2006-11-13 01:48:00,6,-32.9650,151.7010,NSW,51,
2006-11-13 02:33:00,0,-31.7700,151.0700,NSW,73,
2006-11-13 02:55:00,0,-32.0500,150.8500,NSW,55,
2006-11-13 04:00:00,45,-30.2150,151.6680,NSW,48,
2006-11-13 04:15:00,5,-31.0000,151.2330,NSW,49,
2006-11-22 05:39:00,0,-32.9240,151.8010,NSW,52,
2006-11-22 06:00:00,0,-32.8980,151.7350,NSW,50,
2006-11-27 07:51:00,0,-29.7400,151.7400,NSW,49,
2006-11-27 08:00:00,150,-30.3820,152.8850,NSW,49,
2006-11-28 03:42:00,0,-32.6650,150.1850,NSW,55,
2006-11-28 04:30:00,30,-32.2650,150.8850,NSW,59,
2006-11-28 04:40:00,40,-32.9200,151.7900,NSW,0,
2006-11-28 04:58:00,0,-32.8100,151.3500,NSW,51,
2006-11-28 08:20:00,0,-30.3150,153.1180,NSW,50,
2006-11-28 08:20:00,40,-30.2650,153.1350,NSW,59,
2006-11-28 10:20:00,0,-30.5200,151.6700,NSW,57,
2006-11-29 06:51:00,0,-29.6800,152.9300,NSW,53,
2006-11-29 08:00:00,0,-29.1150,153.4350,NSW,51,
2006-12-11 07:30:00,0,-31.6800,145.4800,NSW,0,
2006-12-12 04:30:00,40,-30.7400,151.5300,NSW,0,
2006-12-12 04:30:00,40,-30.4410,151.3530,NSW,0,
2006-12-21 04:30:00,0,-30.5200,151.6700,NSW,0,
2006-12-22 05:19:00,0,-31.4500,142.1300,NSW,54,
2006-12-31 19:00:00,0,-31.4500,142.1300,NSW,0,
2007-01-12 02:41:00,0,-30.8000,149.5500,NSW,67,
2007-01-15 08:45:00,30,-31.4300,147.2700,NSW,0,
2007-01-16 07:10:00,0,-35.2500,147.3400,NSW,0,
2007-01-16 07:14:00,0,-32.1200,147.6200,NSW,55,
2007-01-18 05:37:00,0,-33.4300,149.5600,NSW,56,
2007-01-27 04:58:00,0,-31.8900,152.5500,NSW,48,
2007-02-07 05:15:00,30,-31.7100,148.6700,NSW,48,
2007-02-07 07:15:00,35,-32.0500,150.8700,NSW,54,
2007-02-07 07:18:00,0,-32.0500,150.8500,NSW,54,
2007-02-07 07:20:00,0,-32.0500,150.8500,NSW,59,
2007-02-07 07:27:00,0,-32.0500,150.8500,NSW,61,
2007-02-07 09:14:00,0,-32.9700,151.7000,NSW,51,
2007-02-24 04:52:00,0,-33.7500,150.6800,NSW,54,
2007-02-24 04:55:00,0,-33.7500,150.6800,NSW,56,
2007-02-26 04:14:00,0,-30.8200,148.2300,NSW,53,
2007-02-28 03:24:00,0,-32.2100,148.5700,NSW,55,
2007-02-28 06:30:00,20,-32.9650,151.7010,NSW,48,
2007-02-28 07:00:00,20,-33.7150,151.2850,NSW,54,
2007-02-28 07:30:00,30,-29.6800,152.9300,NSW,0,
2007-03-01 03:15:00,0,-30.9900,150.2600,NSW,62,
2007-03-01 08:00:00,0,-33.8700,150.6400,NSW,0,
2007-03-04 11:00:00,90,-34.0820,150.5010,NSW,54,
2007-03-05 05:43:00,0,-34.0300,150.6500,NSW,59,
2007-03-05 06:30:00,10,-33.7100,151.0800,NSW,0,
2007-03-05 08:13:00,0,-33.2820,151.5680,NSW,79,
2007-03-08 04:22:00,0,-34.5500,150.3700,NSW,55,
2007-03-08 05:00:00,0,-34.4110,150.8930,NSW,0,
2007-04-20 06:10:00,30,-29.6800,152.9300,NSW,50,
2007-09-14 03:47:00,13,-31.7400,150.7900,NSW,48,
2007-09-14 06:55:00,8,-31.7416,150.7937,NSW,50,
2007-10-08 00:30:00,10,-30.4300,152.9000,NSW,49,
2007-10-08 01:25:00,10,-30.4200,152.0300,NSW,0,
2007-10-08 03:40:00,20,-29.7200,151.7500,NSW,49,
2007-10-08 06:30:00,20,-28.8000,153.3200,NSW,49,
2007-10-09 03:35:00,25,-28.8000,153.2800,NSW,54,
2007-10-09 04:00:00,15,-28.8000,153.2800,NSW,0,
2007-10-11 09:20:00,20,-30.0300,149.7700,NSW,53,
2007-10-11 09:20:00,20,-30.3500,149.7700,NSW,61,
2007-10-26 07:30:00,30,-32.9000,151.7000,NSW,54,
2007-11-18 06:04:00,26,-34.2300,146.0700,NSW,50,
2007-11-29 01:10:00,20,-34.6300,148.0300,NSW,54,
2007-12-03 02:00:00,20,-35.8300,145.7700,NSW,0,
2007-12-03 04:30:00,30,-32.9500,151.7000,NSW,50,
2007-12-03 04:37:00,12,-32.9200,151.7800,NSW,48,
2007-12-06 07:10:00,10,-29.4900,149.8400,NSW,50,
2007-12-07 03:02:00,11,-33.1300,148.2400,NSW,55,
2007-12-07 07:20:00,30,-31.0800,150.9200,NSW,0,
2007-12-09 04:35:00,0,-33.8100,150.9500,NSW,49,
2007-12-09 07:27:00,18,-32.9500,151.7000,NSW,49,
2007-12-09 07:30:00,10,-33.1600,151.4100,NSW,0,
2007-12-09 08:00:00,3,-32.9200,151.8000,NSW,48,
2007-12-16 06:47:00,3,-30.9800,148.3800,NSW,50,
2007-12-20 06:47:00,11,-35.5600,144.9500,NSW,59,
2007-12-21 04:30:00,40,-31.9800,141.4700,NSW,65,
2007-12-21 04:31:00,29,-31.9800,141.4700,NSW,69,
2007-12-21 04:52:00,18,-32.0000,141.4700,NSW,65,
2007-12-21 05:20:00,13,-31.5200,143.3400,NSW,56,
2007-12-21 05:30:00,20,-31.0900,141.7000,NSW,51,
2007-12-21 05:44:00,14,-32.8800,144.3100,NSW,54,
2007-12-21 10:21:00,10,-33.3600,147.9200,NSW,52,
2007-12-21 13:19:00,13,-31.0900,141.7000,NSW,49,
2008-01-11 05:12:00,11,-35.5600,144.9500,NSW,49,
2008-01-12 08:50:00,20,-34.6300,149.9700,NSW,0,
2008-01-13 04:28:00,7,-33.7200,150.6800,NSW,55,
2008-01-13 05:25:00,0,-34.0700,150.5700,NSW,0,
2008-01-16 05:00:00,30,-33.7700,150.7900,NSW,54,
2008-01-29 06:41:00,10,-31.3300,149.2700,NSW,50,
2008-01-31 07:00:00,15,-33.9200,150.9800,NSW,0,
2008-01-31 07:18:00,14,-33.9800,150.9300,NSW,52,
2008-01-31 08:00:00,0,-33.7000,150.9200,NSW,0,
2008-01-31 08:10:00,30,-33.7300,150.8700,NSW,49,
2008-01-31 09:09:00,10,-31.0700,150.8400,NSW,50,
2008-02-07 04:26:00,0,-32.9200,151.7900,NSW,52,
2008-02-26 04:50:00,30,-34.0700,150.5700,NSW,0,
2008-03-07 12:00:00,0,-33.1200,151.4200,NSW,49,
2008-03-20 08:01:00,9,-34.6500,150.8600,NSW,49,
2008-03-27 06:00:00,30,-30.0700,153.2000,NSW,0,
2008-03-28 03:30:00,30,-30.6300,152.9800,NSW,0,
