Date/Time,Latitude,Longitude,Nearest town,State,Max speed (km/h),Fujita scale,Damage total,
2015-10-14 06:00:00,-27.4700,151.9400,Highfields,QLD,63,0,,
2015-02-20 22:30:00,-26.6800,153.1100,Mooloolaba,QLD,63,0,,
2016-08-24 07:30:00,-26.6500,153.0000,Drillham,QLD,63,0,,
2016-11-12 07:30:00,-25.5600,152.3200,North Aramara,QLD,63,0,,
2017-01-15 01:45:00,-26.8000,153.0500,Bells Creek,QLD,63,0,,
2017-03-17 04:00:00,-27.4000,153.1000,Brisbane,QLD,63,0,,
2017-03-30 00:30:00,-24.3300,151.5600,Miriam Vale,QLD,180,2,,
2017-10-14 00:00:00,-27.9000,153.0000,Cedar Vale,QLD,63,0,,
2017-12-31 01:00:00,-28.0500,152.0000,Allora,QLD,63,0,,
2014-12-06 02:00:00,-25.2900,152.8600,Torquay,QLD,63,0,,
2012-02-14 21:30:00,-21.1400,149.2000,Mackay,QLD,63,0,,
2011-12-14 09:00:00,-16.4500,145.3700,Mossman,QLD,63,0,,
